State,Generation,Date,Estimated_Consumption,Estimated_Surplus,Energy_Status
पांडिचेरी / Pondicherry,0.0,Report-2025-12-05,0.0,0.0,Surplus
दक्षिणी क्षेत्र/Southern Region,86.65,Report-2025-12-05,82.37,4.28,Surplus
बिहार / Bihar,0.0,Report-2025-12-05,0.0,0.0,Surplus
झारखंड / Jharkhand,0.0,Report-2025-12-05,0.0,0.0,Surplus
ओडिशा / Odisha,0.0,Report-2025-12-05,0.0,0.0,Surplus
पश्चिम बंगाल / West Bengal,0.0,Report-2025-12-05,0.0,0.0,Surplus
सिक्किम / Sikkim,0.0,Report-2025-12-05,0.0,0.0,Surplus
पूर्वी क्षेत्र/Eastern Region,0.0,Report-2025-12-05,0.0,0.0,Surplus
अरुणाचल प्रदेश / Arunachal Pradesh,0.0,Report-2025-12-05,0.0,0.0,Surplus
असम / Assam,0.0,Report-2025-12-05,0.0,0.0,Surplus
मणिपुर / Manipur,0.0,Report-2025-12-05,0.0,0.0,Surplus
मेघालय / Meghalaya,0.0,Report-2025-12-05,0.0,0.0,Surplus
मिज़ोरम / Mizoram,0.0,Report-2025-12-05,0.0,0.0,Surplus
नागालैंड / Nagaland,0.0,Report-2025-12-05,0.0,0.0,Surplus
त्रिपुरा / Tripura,0.0,Report-2025-12-05,0.0,0.0,Surplus
उत्तर-पूर्वी क्षेत्र/North-Eastern Region,0.0,Report-2025-12-05,0.0,0.0,Surplus
राज्य / State / क्षेत्र / Region,6.0,Report-2025-12-06,5.58,0.42,Surplus
चंडीगढ़ / Chandigarh,0.0,Report-2025-12-06,0.0,0.0,Surplus
दिल्ली / Delhi,0.0,Report-2025-12-06,0.0,0.0,Surplus
हरियाणा / Haryana,0.0,Report-2025-12-06,0.0,0.0,Surplus
हिमाचल प्रदेश / Himachal Pradesh,0.0,Report-2025-12-06,0.0,0.0,Surplus
जम्मू और कश्मीर / Jammu and Kashmir,0.0,Report-2025-12-06,0.0,0.0,Surplus
लद्दाख़ / Ladakh,0.0,Report-2025-12-06,0.0,0.0,Surplus
पंजाब / Punjab,0.0,Report-2025-12-06,0.0,0.0,Surplus
राजस्थान / Rajasthan,13.49,Report-2025-12-06,13.17,0.32,Surplus
उत्तर प्रदेश / Uttar Pradesh,0.0,Report-2025-12-06,0.0,0.0,Surplus
उत्तराखंड / Uttarakhand,0.0,Report-2025-12-06,0.0,0.0,Surplus
उत्तरी क्षेत्र/Northern Region,13.49,Report-2025-12-06,12.67,0.82,Surplus
छत्तीसगढ़ / Chhattisgarh,0.0,Report-2025-12-06,0.0,0.0,Surplus
गुजरात / Gujarat,94.45,Report-2025-12-06,90.91,3.54,Surplus
मध्य प्रदेश / Madhya Pradesh,8.6,Report-2025-12-06,8.8,-0.2,Deficit
महाराष्ट्र / Maharashtra,16.88,Report-2025-12-06,15.78,1.1,Surplus
दमन और दीव / Daman & Diu,0.0,Report-2025-12-06,0.0,0.0,Surplus
दादरा और नगर ​​हवेली / Dadra & Nagar Haveli,0.0,Report-2025-12-06,0.0,0.0,Surplus
गोआ / Goa,0.0,Report-2025-12-06,0.0,0.0,Surplus
पश्चिमी क्षेत्र/Western Region,119.93,Report-2025-12-06,121.91,-1.98,Deficit
आंध्र प्रदेश / Andhra Pradesh,8.94,Report-2025-12-06,8.48,0.46,Surplus
तेलंगाना / Telangana,0.47,Report-2025-12-06,0.47,0.0,Surplus
कर्नाटक / Karnataka,31.16,Report-2025-12-06,31.47,-0.31,Deficit
केरल / Kerala,0.35,Report-2025-12-06,0.34,0.01,Surplus
तमिलनाडु / Tamil Nadu,39.34,Report-2025-12-06,38.48,0.86,Surplus
पांडिचेरी / Pondicherry,0.0,Report-2025-12-06,0.0,0.0,Surplus
दक्षिणी क्षेत्र/Southern Region,80.26,Report-2025-12-06,74.66,5.6,Surplus
बिहार / Bihar,0.0,Report-2025-12-06,0.0,0.0,Surplus
झारखंड / Jharkhand,0.0,Report-2025-12-06,0.0,0.0,Surplus
ओडिशा / Odisha,0.0,Report-2025-12-06,0.0,0.0,Surplus
पश्चिम बंगाल / West Bengal,0.0,Report-2025-12-06,0.0,0.0,Surplus
सिक्किम / Sikkim,0.0,Report-2025-12-06,0.0,0.0,Surplus
पूर्वी क्षेत्र/Eastern Region,0.0,Report-2025-12-06,0.0,0.0,Surplus
अरुणाचल प्रदेश / Arunachal Pradesh,0.0,Report-2025-12-06,0.0,0.0,Surplus
असम / Assam,0.0,Report-2025-12-06,0.0,0.0,Surplus
मणिपुर / Manipur,0.0,Report-2025-12-06,0.0,0.0,Surplus
मेघालय / Meghalaya,0.0,Report-2025-12-06,0.0,0.0,Surplus
मिज़ोरम / Mizoram,0.0,Report-2025-12-06,0.0,0.0,Surplus
नागालैंड / Nagaland,0.0,Report-2025-12-06,0.0,0.0,Surplus
त्रिपुरा / Tripura,0.0,Report-2025-12-06,0.0,0.0,Surplus
उत्तर-पूर्वी क्षेत्र/North-Eastern Region,0.0,Report-2025-12-06,0.0,0.0,Surplus
राज्य / State / क्षेत्र / Region,7.0,Report-2025-12-07,6.45,0.55,Surplus
चंडीगढ़ / Chandigarh,0.0,Report-2025-12-07,0.0,0.0,Surplus
दिल्ली / Delhi,0.0,Report-2025-12-07,0.0,0.0,Surplus
हरियाणा / Haryana,0.0,Report-2025-12-07,0.0,0.0,Surplus
हिमाचल प्रदेश / Himachal Pradesh,0.0,Report-2025-12-07,0.0,0.0,Surplus
जम्मू और कश्मीर / Jammu and Kashmir,0.0,Report-2025-12-07,0.0,0.0,Surplus
लद्दाख़ / Ladakh,0.0,Report-2025-12-07,0.0,0.0,Surplus
पंजाब / Punjab,0.0,Report-2025-12-07,0.0,0.0,Surplus
राजस्थान / Rajasthan,10.23,Report-2025-12-07,9.66,0.57,Surplus
उत्तर प्रदेश / Uttar Pradesh,0.0,Report-2025-12-07,0.0,0.0,Surplus
उत्तराखंड / Uttarakhand,0.0,Report-2025-12-07,0.0,0.0,Surplus
उत्तरी क्षेत्र/Northern Region,10.23,Report-2025-12-07,9.78,0.45,Surplus
छत्तीसगढ़ / Chhattisgarh,0.0,Report-2025-12-07,0.0,0.0,Surplus
गुजरात / Gujarat,59.91,Report-2025-12-07,59.4,0.51,Surplus
मध्य प्रदेश / Madhya Pradesh,5.6,Report-2025-12-07,5.68,-0.08,Deficit
महाराष्ट्र / Maharashtra,17.28,Report-2025-12-07,17.15,0.13,Surplus
दमन और दीव / Daman & Diu,0.0,Report-2025-12-07,0.0,0.0,Surplus
दादरा और नगर ​​हवेली / Dadra & Nagar Haveli,0.0,Report-2025-12-07,0.0,0.0,Surplus
गोआ / Goa,0.0,Report-2025-12-07,0.0,0.0,Surplus
पश्चिमी क्षेत्र/Western Region,82.79,Report-2025-12-07,78.58,4.21,Surplus
आंध्र प्रदेश / Andhra Pradesh,10.38,Report-2025-12-07,9.83,0.55,Surplus
तेलंगाना / Telangana,0.7,Report-2025-12-07,0.72,-0.02,Deficit
कर्नाटक / Karnataka,30.51,Report-2025-12-07,29.39,1.12,Surplus
केरल / Kerala,0.34,Report-2025-12-07,0.35,-0.01,Deficit
तमिलनाडु / Tamil Nadu,41.77,Report-2025-12-07,41.33,0.44,Surplus
पांडिचेरी / Pondicherry,0.0,Report-2025-12-07,0.0,0.0,Surplus
दक्षिणी क्षेत्र/Southern Region,83.7,Report-2025-12-07,81.63,2.07,Surplus
बिहार / Bihar,0.0,Report-2025-12-07,0.0,0.0,Surplus
झारखंड / Jharkhand,0.0,Report-2025-12-07,0.0,0.0,Surplus
ओडिशा / Odisha,0.0,Report-2025-12-07,0.0,0.0,Surplus
पश्चिम बंगाल / West Bengal,0.0,Report-2025-12-07,0.0,0.0,Surplus
सिक्किम / Sikkim,0.0,Report-2025-12-07,0.0,0.0,Surplus
पूर्वी क्षेत्र/Eastern Region,0.0,Report-2025-12-07,0.0,0.0,Surplus
अरुणाचल प्रदेश / Arunachal Pradesh,0.0,Report-2025-12-07,0.0,0.0,Surplus
असम / Assam,0.0,Report-2025-12-07,0.0,0.0,Surplus
मणिपुर / Manipur,0.0,Report-2025-12-07,0.0,0.0,Surplus
मेघालय / Meghalaya,0.0,Report-2025-12-07,0.0,0.0,Surplus
मिज़ोरम / Mizoram,0.0,Report-2025-12-07,0.0,0.0,Surplus
नागालैंड / Nagaland,0.0,Report-2025-12-07,0.0,0.0,Surplus
त्रिपुरा / Tripura,0.0,Report-2025-12-07,0.0,0.0,Surplus
उत्तर-पूर्वी क्षेत्र/North-Eastern Region,0.0,Report-2025-12-07,0.0,0.0,Surplus
राज्य / State / क्षेत्र / Region,8.0,Report-2025-12-08,7.74,0.26,Surplus
चंडीगढ़ / Chandigarh,0.0,Report-2025-12-08,0.0,0.0,Surplus
दिल्ली / Delhi,0.0,Report-2025-12-08,0.0,0.0,Surplus
हरियाणा / Haryana,0.0,Report-2025-12-08,0.0,0.0,Surplus
हिमाचल प्रदेश / Himachal Pradesh,0.0,Report-2025-12-08,0.0,0.0,Surplus
जम्मू और कश्मीर / Jammu and Kashmir,0.0,Report-2025-12-08,0.0,0.0,Surplus
लद्दाख़ / Ladakh,0.0,Report-2025-12-08,0.0,0.0,Surplus
पंजाब / Punjab,0.0,Report-2025-12-08,0.0,0.0,Surplus
राजस्थान / Rajasthan,5.14,Report-2025-12-08,4.82,0.32,Surplus
उत्तर प्रदेश / Uttar Pradesh,0.0,Report-2025-12-08,0.0,0.0,Surplus
उत्तराखंड / Uttarakhand,0.0,Report-2025-12-08,0.0,0.0,Surplus
उत्तरी क्षेत्र/Northern Region,5.14,Report-2025-12-08,5.12,0.02,Surplus
छत्तीसगढ़ / Chhattisgarh,0.0,Report-2025-12-08,0.0,0.0,Surplus
गुजरात / Gujarat,77.09,Report-2025-12-08,71.75,5.34,Surplus
मध्य प्रदेश / Madhya Pradesh,3.8,Report-2025-12-08,3.75,0.05,Surplus
महाराष्ट्र / Maharashtra,14.38,Report-2025-12-08,14.8,-0.42,Deficit
दमन और दीव / Daman & Diu,0.0,Report-2025-12-08,0.0,0.0,Surplus
दादरा और नगर ​​हवेली / Dadra & Nagar Haveli,0.0,Report-2025-12-08,0.0,0.0,Surplus
गोआ / Goa,0.0,Report-2025-12-08,0.0,0.0,Surplus
पश्चिमी क्षेत्र/Western Region,95.27,Report-2025-12-08,95.41,-0.14,Deficit
आंध्र प्रदेश / Andhra Pradesh,8.29,Report-2025-12-08,8.26,0.03,Surplus
तेलंगाना / Telangana,0.7,Report-2025-12-08,0.7,0.0,Surplus
कर्नाटक / Karnataka,23.88,Report-2025-12-08,22.91,0.97,Surplus
केरल / Kerala,0.22,Report-2025-12-08,0.21,0.01,Surplus
तमिलनाडु / Tamil Nadu,37.32,Report-2025-12-08,37.66,-0.34,Deficit
पांडिचेरी / Pondicherry,0.0,Report-2025-12-08,0.0,0.0,Surplus
दक्षिणी क्षेत्र/Southern Region,70.41,Report-2025-12-08,71.49,-1.08,Deficit
बिहार / Bihar,0.0,Report-2025-12-08,0.0,0.0,Surplus
झारखंड / Jharkhand,0.0,Report-2025-12-08,0.0,0.0,Surplus
ओडिशा / Odisha,0.0,Report-2025-12-08,0.0,0.0,Surplus
पश्चिम बंगाल / West Bengal,0.0,Report-2025-12-08,0.0,0.0,Surplus
सिक्किम / Sikkim,0.0,Report-2025-12-08,0.0,0.0,Surplus
पूर्वी क्षेत्र/Eastern Region,0.0,Report-2025-12-08,0.0,0.0,Surplus
अरुणाचल प्रदेश / Arunachal Pradesh,0.0,Report-2025-12-08,0.0,0.0,Surplus
असम / Assam,0.0,Report-2025-12-08,0.0,0.0,Surplus
मणिपुर / Manipur,0.0,Report-2025-12-08,0.0,0.0,Surplus
मेघालय / Meghalaya,0.0,Report-2025-12-08,0.0,0.0,Surplus
