1,2,3,4,5,6,Month,7,8,9,10,11,12,13,14,Estimated_Consumption,Estimated_Surplus,Energy_Status
सौर/Solar ,116247.83,92428.58(*),12927.478653999999,11445.6581529,112.94657311361817,RE_Monthly_Generation_report_June_2025,103749.271811933,91769.907699827,43044.6194309,36112.7011105,119.19523632195018,30117.1407769,,,105213.98,-1464.71,Deficit
बायोमास/Biomass ,10743.11,10066.27,337.28842599999996,273.427496,123.35570889330016,RE_Monthly_Generation_report_June_2025,3112.039664,2873.394282,1022.868284,847.317771,120.71837969275873,685.5798580000001,,,3062.84,49.2,Surplus
बगास/Bagasse,,,109.779916,188.61400000000003,58.20348224416002,RE_Monthly_Generation_report_June_2025,9369.8799005,11179.50804017,793.6177279999999,1286.79351,61.67405429329528,683.837812,,,9516.47,-146.59,Deficit
लघु जल विद्युत्/Small Hydro ,5102.05,4261.93,1170.7944280000002,776.365902,150.8044628162972,RE_Monthly_Generation_report_June_2025,9016.81973476,10591.78633738,2639.1794371,2104.366054,125.41446541980761,1468.3850091,,,8783.01,233.81,Surplus
बृहत् जल विद्युत्/Large Hydro($),49378.17,49378.17,16775.5,14212.68,118.03192642063284,RE_Monthly_Generation_report_June_2025,127038.22,154325.21999999997,39658.25,34968.51,113.41132350220239,22882.75,,,124295.46,2742.76,Surplus
अन्य/Others,853.2,948.11,236.05700000000002,233.28864600000003,101.18666469520339,RE_Monthly_Generation_report_June_2025,2495.1251975000005,2299.7696202,733.7542000000001,716.2095977,102.44964635441104,497.6972,,,2405.63,89.5,Surplus
कुल/Total Including Large Hydro,233999.20999999996,206596.25999999995,46436.43851,37264.9505969,124.61156600557241,RE_Monthly_Generation_report_June_2025,333588.6410580741,340712.6785797909,119769.96416899998,99157.70029220001,120.78735571323188,73333.52565899998,,,301501.71,32086.93,Surplus
कुल/Total Excluding Large Hydro,184621.03999999998,157218.08999999997,29660.93851,23052.2705969,128.6681864388175,RE_Monthly_Generation_report_June_2025,206550.421058074,186387.458579791,80111.71416899998,64189.1902922,124.805615718656,50450.77565899999,,,189238.13,17312.29,Surplus
,,,,,,RE_Monthly_Generation_report_June_2025,,,,,,119769.96416899998,,,,,Deficit
 (*) Solar Installed capacity including 3.5 GW rooftop solar.,,,,,,RE_Monthly_Generation_report_June_2025,,,,,,,,,,,Deficit
"($) Large Hydro Generation data excluding  import from Bhutan.However,the import from Bhutan during June 2025  is 1129.21 MUs and April 2025 to June 2025 is 1860.72 MUs.",,,,,,RE_Monthly_Generation_report_June_2025,,,,,,,,,,,Deficit
,,,,,,RE_Monthly_Generation_report_March_2025,,,,Month - March 2025,,,,,,,Deficit
, Central Electricity Authority / केन्द्रीय विद्युत प्राधिकरण,,,,,RE_Monthly_Generation_report_March_2025,,,,,,,,,,,Deficit
,Renewable Energy Project Monitoring Division/नवीकरणीय ऊर्जा परियोजना प्रबोधन प्रभाग,,,,,RE_Monthly_Generation_report_March_2025,,,,,,,,,,,Deficit
1. SUMMARY-ALL INDIA                                                                                                                                               AN OVERVIEW,,,,,,RE_Monthly_Generation_report_March_2025,,,,,,,,,,,Deficit
Category, Installed Capacity (MW)  (as on 31.03.2025),"Monitored Capacity (MW) 
(as on 31.03.2025)
for which generation data is available 
",RE Generation(MU)  March 2025,RE Generation(MU)  March 2024,% of same Month Last Year ,RE_Monthly_Generation_report_March_2025,,,RE Generation(MU) April 2024-  March 2025,RE Generation(MU) April 2023-  March 2024,% of same period Last Year ,,,,,,Deficit
पवन/Wind ,50037.82,48419.75,5133.628399999999,4578.064269,112.13535019073359,RE_Monthly_Generation_report_March_2025,78807.284749381,67673.092600214,83347.188766052,83385.349018381,99.95423626239113,78213.560366052,78807.284749381,,73631.2,5176.08,Surplus
सौर/Solar ,105646.49,85899.11(*),16811.3781766,12225.834087800002,137.50700406916084,RE_Monthly_Generation_report_March_2025,103749.271811933,91769.907699827,144150.23190177497,115975.10589973301,124.29411534782382,127338.85372517498,103749.271811933,,94572.34,9176.93,Surplus
बायोमास/Biomass ,10743.109999999999,9970.71,346.334786,305.14666,113.4978131499129,RE_Monthly_Generation_report_March_2025,3112.039664,2873.394282,3738.6743099999994,3417.186324,109.40797356415968,3392.3395239999995,3112.039664,,2936.09,175.95,Surplus
बगास/Bagasse,,,986.252784,1455.7096464,67.7506525040226,RE_Monthly_Generation_report_March_2025,9369.8799005,11179.50804017,9335.316625000001,10825.5895469,86.2337943310741,8349.063841000001,9369.8799005,,8659.49,710.39,Surplus
लघु जल विद्युत्/Small Hydro ,5100.550000000001,4264.525,615.1580575,468.22333055,131.38133394109232,RE_Monthly_Generation_report_March_2025,9016.81973476,10591.78633738,11568.040129300001,9485.04306531,121.96086037403693,10952.8820718,9016.81973476,,9372.58,-355.76,Deficit
बृहत् जल विद्युत्/Large Hydro($),47728.16,47728.16,8763.279999999999,7015.7,124.90955998688653,RE_Monthly_Generation_report_March_2025,127038.22,154325.21999999997,148633.98,134053.92,110.8762653117492,139780.44,127038.22,,129733.72,-2695.5,Deficit
अन्य/Others,840.21,934.99,248.514847,251.42302500000005,98.84331277932876,RE_Monthly_Generation_report_March_2025,2495.1251975000005,2299.7696202,2869.7346159999997,2746.5482225000005,104.48513492284037,2621.219769,2495.1251975000005,,2482.68,12.45,Surplus
कुल/Total Including Large Hydro,220096.33999999997,197217.24499999997,32904.547051099995,26300.101018750003,125.11186564508448,RE_Monthly_Generation_report_March_2025,333588.6410580741,340712.6785797909,403643.16634812695,359888.74207682407,112.15776409642811,370648.3592970271,333588.641058074,,343836.18,-10247.54,Deficit
कुल/Total Excluding Large Hydro,172368.17999999996,149489.08499999996,24141.267051099996,19284.401018750003,125.18546480975851,RE_Monthly_Generation_report_March_2025,206550.421058074,186387.458579791,255009.18634812697,225834.822076824,112.9184525234016,230867.919297027,206550.421058074,,210795.2,-4244.78,Deficit
 (*) Solar Installed capacity including 2.5 GW rooftop solar.,,,,,,RE_Monthly_Generation_report_March_2025,,,,,,,,,,,Deficit
"($) Large Hydro Generation data excluding  import from Bhutan.However,the import from Bhutan during  March 2025  is 115.40 MUs and April 2024 to   March 2025 is 5484.18 MUs.",,,,,,RE_Monthly_Generation_report_March_2025,,,,,,,,,,,Deficit
,,,,,,RE_Monthly_Generation_report_May_2025_2,,,Revision -I ,,,,,,,,Deficit
